step,molecule_id,molecule_type,measurement_type,measurement_id,value,equilibrium,deviation
70,0,methane,bond,2,1.119076,1.090000,0.029076
70,0,methane,bond,3,1.087886,1.090000,0.002114
70,0,methane,angle,0,108.789501,109.500000,0.710499
70,0,methane,angle,1,108.619780,109.500000,0.880220
70,0,methane,angle,2,109.926987,109.500000,0.426987
70,0,methane,angle,3,107.130559,109.500000,2.369441
70,0,methane,angle,4,108.691826,109.500000,0.808174
70,0,methane,angle,5,113.555132,109.500000,4.055132
70,1,water,bond,0,0.996816,0.960000,0.036816
70,1,water,bond,1,0.997604,0.960000,0.037604
70,1,water,angle,0,104.869316,104.500000,0.369316
70,2,co2,bond,0,1.166033,1.160000,0.006033
70,2,co2,bond,1,1.154574,1.160000,0.005426
70,2,co2,angle,0,178.546302,180.000000,1.453698
70,3,ammonia,bond,0,1.042262,1.010000,0.032262
70,3,ammonia,bond,1,0.995766,1.010000,0.014234
70,3,ammonia,bond,2,0.955903,1.010000,0.054097
70,3,ammonia,angle,0,105.564541,107.000000,1.435459
70,3,ammonia,angle,1,106.789384,107.000000,0.210616
70,3,ammonia,angle,2,105.038780,107.000000,1.961220
70,4,acetylene,bond,0,1.049607,1.060000,0.010393
70,4,acetylene,bond,1,1.195032,1.200000,0.004968
70,4,acetylene,bond,2,1.075640,1.060000,0.015640
70,4,acetylene,angle,0,176.767589,180.000000,3.232411
70,4,acetylene,angle,1,176.282914,180.000000,3.717086
70,5,hcl,bond,0,1.260438,1.270000,0.009562
75,0,methane,bond,0,1.105722,1.090000,0.015722
75,0,methane,bond,1,1.118193,1.090000,0.028193
75,0,methane,bond,2,1.122133,1.090000,0.032133
75,0,methane,bond,3,1.087070,1.090000,0.002930
75,0,methane,angle,0,108.638203,109.500000,0.861797
75,0,methane,angle,1,108.512333,109.500000,0.987667
75,0,methane,angle,2,109.976541,109.500000,0.476541
75,0,methane,angle,3,106.949895,109.500000,2.550105
75,0,methane,angle,4,108.740138,109.500000,0.759862
75,0,methane,angle,5,113.872022,109.500000,4.372022
75,1,water,bond,0,0.999829,0.960000,0.039829
75,1,water,bond,1,1.000064,0.960000,0.040064
75,1,water,angle,0,104.868483,104.500000,0.368483
75,2,co2,bond,0,1.166100,1.160000,0.006100
75,2,co2,bond,1,1.154987,1.160000,0.005013
75,2,co2,angle,0,178.503999,180.000000,1.496001
75,3,ammonia,bond,0,1.045251,1.010000,0.035251
75,3,ammonia,bond,1,0.994957,1.010000,0.015043
75,3,ammonia,bond,2,0.952304,1.010000,0.057696
75,3,ammonia,angle,0,105.533679,107.000000,1.466321
75,3,ammonia,angle,1,106.708312,107.000000,0.291688
75,3,ammonia,angle,2,104.975503,107.000000,2.024497
75,4,acetylene,bond,0,1.048668,1.060000,0.011332
75,4,acetylene,bond,1,1.195184,1.200000,0.004816
75,4,acetylene,bond,2,1.076172,1.060000,0.016172
75,4,acetylene,angle,0,176.645939,180.000000,3.354061
75,4,acetylene,angle,1,176.128288,180.000000,3.871712
75,5,hcl,bond,0,1.259334,1.270000,0.010666
80,0,methane,bond,0,1.107461,1.090000,0.017461
80,0,methane,bond,1,1.119965,1.090000,0.029965
80,0,methane,bond,2,1.125235,1.090000,0.035235
80,0,methane,bond,3,1.086290,1.090000,0.003710
80,0,methane,angle,0,108.487154,109.500000,1.012846
80,0,methane,angle,1,108.404584,109.500000,1.095416
80,0,methane,angle,2,110.024997,109.500000,0.524997
80,0,methane,angle,3,106.769449,109.500000,2.730551
80,0,methane,angle,4,108.787877,109.500000,0.712123
80,0,methane,angle,5,114.188092,109.500000,4.688092
80,1,water,bond,0,1.002874,0.960000,0.042874
80,1,water,bond,1,1.002557,0.960000,0.042557
80,1,water,angle,0,104.867217,104.500000,0.367217
80,2,co2,bond,0,1.166166,1.160000,0.006166
80,2,co2,bond,1,1.155404,1.160000,0.004596
80,2,co2,angle,0,178.460384,180.000000,1.539616
80,3,ammonia,bond,0,1.048226,1.010000,0.038226
80,3,ammonia,bond,1,0.994182,1.010000,0.015818
80,3,ammonia,bond,2,0.948749,1.010000,0.061251
80,3,ammonia,angle,0,105.502225,107.000000,1.497775
80,3,ammonia,angle,1,106.624602,107.000000,0.375398
80,3,ammonia,angle,2,104.911214,107.000000,2.088786
80,4,acetylene,bond,0,1.047709,1.060000,0.012291
80,4,acetylene,bond,1,1.195340,1.200000,0.004660
80,4,acetylene,bond,2,1.076679,1.060000,0.016679
80,4,acetylene,angle,0,176.523721,180.000000,3.476279
80,4,acetylene,angle,1,175.973473,180.000000,4.026527
80,5,hcl,bond,0,1.258207,1.270000,0.011793
85,0,methane,bond,0,1.109233,1.090000,0.019233
85,0,methane,bond,1,1.121770,1.090000,0.031770
85,0,methane,bond,2,1.128382,1.090000,0.038382
85,0,methane,bond,3,1.085548,1.090000,0.004452
85,0,methane,angle,0,108.336580,109.500000,1.163420
85,0,methane,angle,1,108.296657,109.500000,1.203343
85,0,methane,angle,2,110.072335,109.500000,0.572335
85,0,methane,angle,3,106.589006,109.500000,2.910994
85,0,methane,angle,4,108.835205,109.500000,0.664795
85,0,methane,angle,5,114.503129,109.500000,5.003129
85,1,water,bond,0,1.005952,0.960000,0.045952
85,1,water,bond,1,1.005081,0.960000,0.045081
85,1,water,angle,0,104.865566,104.500000,0.365566
85,2,co2,bond,0,1.166231,1.160000,0.006231
85,2,co2,bond,1,1.155828,1.160000,0.004172
85,2,co2,angle,0,178.415642,180.000000,1.584358
85,3,ammonia,bond,0,1.051191,1.010000,0.041191
85,3,ammonia,bond,1,0.993436,1.010000,0.016564
85,3,ammonia,bond,2,0.945237,1.010000,0.064763
85,3,ammonia,angle,0,105.470071,107.000000,1.529929
85,3,ammonia,angle,1,106.538494,107.000000,0.461506
85,3,ammonia,angle,2,104.846195,107.000000,2.153805
