step,atom_id,type,x,y,z,vx,vy,vz,fx,fy,fz,mass
45,10,O,17.154766,10.001362,9.984775,487.035718,-93.608077,-593.437072,0.000000,-0.000000,-0.000000,16.000000
45,11,N,10.008029,12.988420,10.011464,-99.865077,-470.526612,395.475242,0.000000,0.000000,0.000000,14.000000
45,12,H,10.956856,13.008800,9.618487,3138.129865,811.286078,343.627011,-0.000000,-0.000000,-0.000000,1.000000
45,13,H,9.540151,13.786581,9.631167,99.954137,-1893.228398,-227.136806,-0.000000,0.000000,-0.000000,1.000000
45,14,H,9.554359,12.216220,9.627274,3555.700250,2585.064133,-338.257471,-0.000000,-0.000000,-0.000000,1.000000
45,15,H,11.346116,13.018646,9.989125,844.121368,1592.488168,-41.463343,0.000000,0.000000,0.000000,1.000000
45,16,C,12.399742,12.990251,9.994290,-40.137988,-191.365148,420.953890,-0.000000,-0.000000,-0.000000,12.000000
45,17,C,13.593790,13.012323,10.009012,76.667440,317.602417,348.769195,0.000000,0.000000,0.000000,12.000000
45,18,H,14.665885,12.989010,9.987829,689.790063,-1908.037072,-985.661616,-0.000000,-0.000000,-0.000000,1.000000
45,19,H,15.358232,12.999611,10.018499,474.616302,-332.401100,2679.696365,0.000000,0.000000,0.000000,1.000000
45,20,Cl,16.623726,12.996758,10.000998,-539.710180,-99.221558,-159.300635,0.000000,-0.000000,-0.000000,35.500000
50,0,C,10.003386,10.006888,9.995901,-567.120409,-81.389564,182.621113,0.000000,0.000000,-0.000000,12.000000
50,1,H,10.643557,10.632895,10.630715,2130.876311,351.584310,-309.590520,0.000000,0.000000,0.000000,1.000000
50,2,H,10.638720,9.372200,9.343760,906.807960,1037.760556,-2155.507482,0.000000,-0.000000,-0.000000,1.000000
50,3,H,9.392603,10.660081,9.342917,1324.427440,3546.952530,-2792.617426,-0.000000,0.000000,-0.000000,1.000000
50,4,H,9.389300,9.355703,10.620580,1659.132046,-670.705529,51.895548,-0.000000,-0.000000,0.000000,1.000000
50,5,O,13.004329,9.995149,9.994673,100.550466,-28.465860,-246.208398,-0.000000,-0.000000,-0.000000,16.000000
50,6,H,13.782618,10.599020,9.996774,2155.860051,1999.889404,-1116.466616,0.000000,0.000000,0.000000,1.000000
50,7,H,12.218627,10.594100,10.009311,-1942.373536,1103.757021,184.845406,-0.000000,0.000000,0.000000,1.000000
50,8,O,14.836816,9.997663,10.010144,46.903686,385.117735,198.642136,-0.000000,-0.000000,0.000000,16.000000
50,9,C,16.002562,10.003329,10.009673,119.345699,-250.232294,292.221621,-0.000000,0.000000,0.000000,12.000000
50,10,O,17.155254,10.001268,9.984182,489.232426,-93.745444,-593.111767,0.000000,-0.000000,-0.000000,16.000000
50,11,N,10.007929,12.987950,10.011862,-99.410780,-469.205617,397.835488,0.000000,0.000000,0.000000,14.000000
50,12,H,10.959982,13.009611,9.618818,3117.296646,811.293674,324.013276,-0.000000,-0.000000,-0.000000,1.000000
50,13,H,9.540240,13.784703,9.630932,85.863565,-1866.746830,-240.757120,-0.000000,0.000000,-0.000000,1.000000
50,14,H,9.557908,12.218790,9.626931,3544.645577,2556.828479,-348.523191,-0.000000,-0.000000,-0.000000,1.000000
50,15,H,11.346973,13.020240,9.989095,864.620312,1595.291387,-23.439552,0.000000,0.000000,0.000000,1.000000
50,16,C,12.399701,12.990059,9.994711,-41.867586,-192.133707,420.912723,-0.000000,-0.000000,-0.000000,12.000000
50,17,C,13.593868,13.012641,10.009360,79.338910,318.892932,347.884405,0.000000,0.000000,0.000000,12.000000
50,18,H,14.666556,12.987102,9.986842,659.209367,-1904.174944,-986.452154,-0.000000,-0.000000,-0.000000,1.000000
50,19,H,15.358724,12.999278,10.021181,503.338380,-331.433278,2680.044596,0.000000,0.000000,0.000000,1.000000
50,20,Cl,16.623187,12.996659,10.000839,-538.521372,-99.128881,-159.976771,0.000000,-0.000000,-0.000000,35.500000
