step,molecule_id,molecule_type,measurement_type,measurement_id,value,equilibrium,deviation
50,4,acetylene,bond,0,1.059766,1.060000,0.000234
50,4,acetylene,bond,1,1.193894,1.200000,0.006106
50,4,acetylene,bond,2,1.075378,1.060000,0.015378
50,4,acetylene,angle,0,179.023829,180.000000,0.976171
50,4,acetylene,angle,1,178.853673,180.000000,1.146327
50,5,hcl,bond,0,1.230585,1.270000,0.039415
55,0,methane,bond,0,1.066257,1.090000,0.023743
55,0,methane,bond,1,1.118106,1.090000,0.028106
55,0,methane,bond,2,1.094620,1.090000,0.004620
55,0,methane,bond,3,1.080877,1.090000,0.009123
55,0,methane,angle,0,107.197570,109.500000,2.302430
55,0,methane,angle,1,111.150605,109.500000,1.650605
55,0,methane,angle,2,110.606043,109.500000,1.106043
55,0,methane,angle,3,110.635427,109.500000,1.135427
55,0,methane,angle,4,109.753782,109.500000,0.253782
55,0,methane,angle,5,107.515373,109.500000,1.984627
55,1,water,bond,0,0.940903,0.960000,0.019097
55,1,water,bond,1,0.982375,0.960000,0.022375
55,1,water,angle,0,105.111818,104.500000,0.611818
55,2,co2,bond,0,1.162146,1.160000,0.002146
55,2,co2,bond,1,1.155166,1.160000,0.004834
55,2,co2,angle,0,179.424358,180.000000,0.575642
55,3,ammonia,bond,0,0.992928,1.010000,0.017072
55,3,ammonia,bond,1,1.034391,1.010000,0.024391
55,3,ammonia,bond,2,1.017168,1.010000,0.007168
55,3,ammonia,angle,0,108.473866,107.000000,1.473866
55,3,ammonia,angle,1,106.805083,107.000000,0.194917
55,3,ammonia,angle,2,106.453332,107.000000,0.546668
55,4,acetylene,bond,0,1.059434,1.060000,0.000566
55,4,acetylene,bond,1,1.193305,1.200000,0.006695
55,4,acetylene,bond,2,1.075236,1.060000,0.015236
55,4,acetylene,angle,0,179.021283,180.000000,0.978717
55,4,acetylene,angle,1,178.819090,180.000000,1.180910
55,5,hcl,bond,0,1.227936,1.270000,0.042064
60,0,methane,bond,0,1.064690,1.090000,0.025310
60,0,methane,bond,1,1.120013,1.090000,0.030013
60,0,methane,bond,2,1.094898,1.090000,0.004898
60,0,methane,bond,3,1.081932,1.090000,0.008068
60,0,methane,angle,0,106.957534,109.500000,2.542466
60,0,methane,angle,1,111.305749,109.500000,1.805749
60,0,methane,angle,2,110.635610,109.500000,1.135610
60,0,methane,angle,3,110.841477,109.500000,1.341477
60,0,methane,angle,4,109.782305,109.500000,0.282305
60,0,methane,angle,5,107.342372,109.500000,2.157628
60,1,water,bond,0,0.939878,0.960000,0.020122
60,1,water,bond,1,0.983254,0.960000,0.023254
60,1,water,angle,0,105.171808,104.500000,0.671808
60,2,co2,bond,0,1.162185,1.160000,0.002185
60,2,co2,bond,1,1.155528,1.160000,0.004472
60,2,co2,angle,0,179.398928,180.000000,0.601072
60,3,ammonia,bond,0,0.992692,1.010000,0.017308
60,3,ammonia,bond,1,1.037875,1.010000,0.027875
60,3,ammonia,bond,2,1.017348,1.010000,0.007348
60,3,ammonia,angle,0,108.540194,107.000000,1.540194
60,3,ammonia,angle,1,106.795386,107.000000,0.204614
60,3,ammonia,angle,2,106.398135,107.000000,0.601865
60,4,acetylene,bond,0,1.059058,1.060000,0.000942
60,4,acetylene,bond,1,1.192726,1.200000,0.007274
60,4,acetylene,bond,2,1.075031,1.060000,0.015031
60,4,acetylene,angle,0,179.020393,180.000000,0.979607
60,4,acetylene,angle,1,178.783538,180.000000,1.216462
60,5,hcl,bond,0,1.225230,1.270000,0.044770
65,0,methane,bond,0,1.063190,1.090000,0.026810
65,0,methane,bond,1,1.121987,1.090000,0.031987
65,0,methane,bond,2,1.095255,1.090000,0.005255
65,0,methane,bond,3,1.083053,1.090000,0.006947
65,0,methane,angle,0,106.717963,109.500000,2.782037
65,0,methane,angle,1,111.461111,109.500000,1.961111
65,0,methane,angle,2,110.665194,109.500000,1.165194
65,0,methane,angle,3,111.047438,109.500000,1.547438
65,0,methane,angle,4,109.810289,109.500000,0.310289
65,0,methane,angle,5,107.169568,109.500000,2.330432
65,1,water,bond,0,0.938921,0.960000,0.021079
65,1,water,bond,1,0.984198,0.960000,0.024198
65,1,water,angle,0,105.231150,104.500000,0.731150
65,2,co2,bond,0,1.162222,1.160000,0.002222
65,2,co2,bond,1,1.155898,1.160000,0.004102
65,2,co2,angle,0,179.373217,180.000000,0.626783
65,3,ammonia,bond,0,0.992436,1.010000,0.017564
65,3,ammonia,bond,1,1.041419,1.010000,0.031419
65,3,ammonia,bond,2,1.017592,1.010000,0.007592
65,3,ammonia,angle,0,108.604736,107.000000,1.604736
65,3,ammonia,angle,1,106.783335,107.000000,0.216665
65,3,ammonia,angle,2,106.342350,107.000000,0.657650
65,4,acetylene,bond,0,1.058637,1.060000,0.001363
65,4,acetylene,bond,1,1.192158,1.200000,0.007842
65,4,acetylene,bond,2,1.074760,1.060000,0.014760
65,4,acetylene,angle,0,179.021621,180.000000,0.978379
65,4,acetylene,angle,1,178.747027,180.000000,1.252973
65,5,hcl,bond,0,1.222469,1.270000,0.047531
70,0,methane,bond,0,1.061759,1.090000,0.028241
70,0,methane,bond,1,1.124025,1.090000,0.034025
70,0,methane,bond,2,1.095692,1.090000,0.005692
70,0,methane,bond,3,1.084236,1.090000,0.005764
70,0,methane,angle,0,106.478863,109.500000,3.021137
70,0,methane,angle,1,111.616644,109.500000,2.116644
70,0,methane,angle,2,110.695075,109.500000,1.195075
