step,atom_id,type,fx_lj,fy_lj,fz_lj
105,9,C,-0.000003,0.000001,0.000001
105,10,O,0.000075,-0.000001,-0.000002
105,11,N,-0.000052,0.000032,0.000090
105,12,H,-0.010732,-0.000298,-0.011128
105,13,H,-0.000020,0.000034,-0.000015
105,14,H,-0.000039,-0.000061,-0.000028
105,15,H,0.010790,0.000292,0.011081
105,16,C,-0.000023,-0.000000,0.000001
105,17,C,0.000033,0.000001,-0.000001
105,18,H,-0.000241,-0.000011,-0.000013
105,19,H,0.000261,0.000011,0.000013
105,20,Cl,0.000023,-0.000000,-0.000001
110,0,C,-0.000007,-0.000018,-0.000020
110,1,H,0.000032,0.000031,0.000028
110,2,H,0.000011,-0.000011,-0.000010
110,3,H,-0.000019,0.000015,-0.000017
110,4,H,-0.000017,-0.000018,0.000019
110,5,O,-0.000073,-0.000142,0.000010
110,6,H,0.000126,0.000102,-0.000009
110,7,H,-0.000057,0.000042,-0.000002
110,8,O,-0.000068,-0.000002,0.000001
110,9,C,-0.000002,0.000001,0.000001
110,10,O,0.000074,-0.000001,-0.000002
110,11,N,-0.000054,0.000033,0.000089
110,12,H,-0.010018,-0.000283,-0.010461
110,13,H,-0.000019,0.000032,-0.000014
110,14,H,-0.000039,-0.000060,-0.000028
110,15,H,0.010077,0.000277,0.010413
110,16,C,-0.000023,-0.000000,0.000001
110,17,C,0.000033,0.000002,-0.000001
110,18,H,-0.000217,-0.000011,-0.000013
110,19,H,0.000237,0.000011,0.000013
110,20,Cl,0.000024,-0.000000,-0.000001
115,0,C,-0.000007,-0.000019,-0.000021
115,1,H,0.000032,0.000032,0.000028
115,2,H,0.000011,-0.000010,-0.000009
115,3,H,-0.000019,0.000015,-0.000016
115,4,H,-0.000017,-0.000017,0.000019
115,5,O,-0.000074,-0.000142,0.000011
115,6,H,0.000126,0.000103,-0.000009
115,7,H,-0.000056,0.000041,-0.000002
115,8,O,-0.000068,-0.000002,0.000001
115,9,C,-0.000002,0.000001,0.000001
115,10,O,0.000074,-0.000001,-0.000002
115,11,N,-0.000055,0.000034,0.000088
115,12,H,-0.009329,-0.000267,-0.009809
115,13,H,-0.000018,0.000031,-0.000013
115,14,H,-0.000039,-0.000060,-0.000027
115,15,H,0.009387,0.000261,0.009761
115,16,C,-0.000023,-0.000000,0.000001
115,17,C,0.000033,0.000002,-0.000001
115,18,H,-0.000195,-0.000010,-0.000012
115,19,H,0.000214,0.000010,0.000012
115,20,Cl,0.000025,-0.000000,-0.000001
120,0,C,-0.000008,-0.000020,-0.000021
120,1,H,0.000033,0.000032,0.000028
120,2,H,0.000011,-0.000010,-0.000009
120,3,H,-0.000019,0.000014,-0.000016
120,4,H,-0.000017,-0.000017,0.000018
120,5,O,-0.000076,-0.000141,0.000011
120,6,H,0.000126,0.000103,-0.000010
120,7,H,-0.000055,0.000040,-0.000002
120,8,O,-0.000068,-0.000002,0.000001
120,9,C,-0.000002,0.000001,0.000001
120,10,O,0.000074,-0.000001,-0.000002
120,11,N,-0.000057,0.000035,0.000088
120,12,H,-0.008666,-0.000252,-0.009176
120,13,H,-0.000017,0.000029,-0.000012
120,14,H,-0.000039,-0.000059,-0.000027
120,15,H,0.008724,0.000246,0.009128
120,16,C,-0.000022,-0.000000,0.000001
120,17,C,0.000033,0.000002,-0.000001
120,18,H,-0.000175,-0.000010,-0.000011
120,19,H,0.000193,0.000010,0.000011
120,20,Cl,0.000025,-0.000000,-0.000001
125,0,C,-0.000009,-0.000020,-0.000022
125,1,H,0.000033,0.000032,0.000028
125,2,H,0.000010,-0.000010,-0.000009
125,3,H,-0.000018,0.000014,-0.000016
125,4,H,-0.000016,-0.000017,0.000018
